codbottle;volume;weight;product;ALTEZZAMAX;DIAMETROMAX;DESCRIZIONECOLLO;GASATURAPROVV;TIPOFONDODESC;UNITAMISURA;bottletype;DESCPIANTA;DENOMPROVVBOTT;;FILLLEVEL;ALTEZZAPETALO;CODIMPUGNATURA;VOLUMERASOBOCCA;COD_TIPO_BOTTIGLIA;SPALLA;DISEGNOCOLLO
PC000604_00;500;19,9;ISOTONICO;213;63,5;COLLO PCO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;STRAIGHT WALL;TONDA;Clearly Drinks Ltd - 500ml;;40,8;23,5;0;532,7;SW;CONVESSA;PCO-CLIENTE
C010882_01;2000;41,6;BIBITA GASATA;337,26;104;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca cola 2L Lt, 42,7g CONTOUR - EMBOTELLADORAS BEPENSA SA DE CV;;48,1;51;PI;2033,6;CC;CONICA;DIS.CLIENTE
C010897_01;1250;29,9;BIBITA GASATA;284,56;89,5;COLLO GENERICO SECONDO DIS. CLIENTE;4;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca cola Contour 1.25 Lt, 31,0 g - EMBOTELLADORAS BEPENSA SA DE CV;;37,7;37;PI;1269,3;CC;CONCAVA;DIS.CLIENTE
C010885_01;1500;34,5;BIBITA GASATA;306,06;95;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca cola 1.5 Lt, 42,7g - EMBOTELLADORAS BEPENSA SA DE CV;;46,3;38;PI;1530,8;CC;CONCAVA;DIS.CLIENTE
C010876_01;2500;49,5;BIBITA GASATA;362,05;113;COLLO GENERICO SECONDO DIS. CLIENTE;4,2;PETALOIDE;ml;CONTOUR LP CILINDRICO;TONDA;Coca Cola 2.5 Lt, 50,6g - EMBOTELLADORAS BEPENSA SA DE CV;;60;51;PI;2551,3;CC;CONCAVA;DIS.CLIENTE
C010928_00;1000;34,8;LATTE;248,5;52;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 1000ml dairy bottle design;;40,3;;0;1041,9;L;NON STANDARD;N000036_85
C010927_00;700;28,7;LATTE;211;81,18;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 700ml dairy bottle design;;28,6;;0;726,6;L;NON STANDARD;N000036_85
C010922_00;300;16,5;BIBITA GASATA;197,06;56,5;COLLO GENERICO SECONDO DIS. CLIENTE;1;PETALOIDE;ml;NON DEFINITA;TONDA;Varun - New format 300ml 26/22 neck for Varun Plants.Johd;;37,5;20;0;318,9;ND;CONVESSA;DIS.CLIENTE
PC000603_00;500;11,4;ACQUA PIATTA;192;68;29/25mm SHORTY NECK FINISH;0;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - Desert water new design development for all format 500ml;;36,9;;0;531;ND;CONICA;N000114_05
C010918_00;330;7,9;ACQUA PIATTA;172;58;29/25mm SHORTY NECK FINISH;;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - 330ml Desert water bottle development;;23,5;;0;342,6;ND;CONVESSA;N000114_05
C010920_00;200;6,8;ACQUA PIATTA;127;55;29/25mm SHORTY NECK FINISH;0;PIATTO;ml;NON DEFINITA;TONDA;Naqi water Company - 200ml Desert water bottle development;;28,4;;0;218,5;ND;CONICA;N000114_21
C010926_00;360;28,7;LATTE;180;63,28;38 mm BERICAP VER.85;0;PIATTO;ml;LATTE;QUADRA;Kuwait Dairy Company - 360ml dairy bottle design;;36,1;;0;384,2;L;NON STANDARD;N000036_85
C010916_00;750;41,5;DETERGENTE;245;109;COLLO GENERICO SECONDO DIS. CLIENTE;0;PIATTO;ml;NON DEFINITA;OVALE;SERIOPLAST GLOBAL SERVICES SPA - TRIGGER 750ml;;72,5;;1;820,4;ND;NON STANDARD;DIS.CLIENTE
