commessa;model;matricola;region;country;branch;customer;yearmachine;yearstp;codmould;codbottle;LITRI
0L303;SFL 4/4;2607;E1 - West Europe;ITALIA;SIPA WEST EUROPE;GRUPPO OLEARIO PORTARO S.R.L.;2017;2025;10098260/00;C010634_00;0,75
0L303;SFL 4/4;2607;E1 - West Europe;ITALIA;SIPA WEST EUROPE;GRUPPO OLEARIO PORTARO S.R.L.;2017;2025;10098252;C010904_00;0,99
0L450;SFL 6/6;2895;AF3 - South Africa;SUDAFRICA;SIPA SOUTH AFRICA;NORMANDIEN FARMS (PTY) LTD.;2019;2025;10098280;C010909_00;2
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10098229;C010905_01;0,75
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10098208;C010908_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10097821;C010855_01;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10097804;C010847_01;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096789;C010727_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096757;C010732_00;0,75
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096699;C010733_00;0,75
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10097601;C010837_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096543;C010684_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10097293/00;C010797_00;0,2
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;31184417/00;C010556_02;0,37
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10097070/00;C010457_00;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096883;C009602_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096543/00;C010684_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096789;C010727_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096790;C010707_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096785;C010730_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096312;C010633_01;0,36
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10095902;C010613_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096757;C010732_00;0,75
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096699;C010733_00;0,75
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10095449/00;C010565_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10095564/00;C010556_01;0,37
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096544/00;C010682_00;0,2
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10088367;C010036_00;0,5
0L535;SFL EVO 4/3 XL X;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096424;C010656_00;0,09
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096312/00;C010633_01;0,36
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096286/00;C010625_00;0,625
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10096129/00;C010620_01;0,4
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10095902/00;C010613_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10095914/00;C010457_00;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10095441/00;C010562_01;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;20492661/00;C010061_01;0,1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10084924;C009548_00;0,355
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10095449;C010565_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2025;10094446;C010541_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10094614/00;C010554_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10094579;C010542.00;0,8
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10094446;C010541_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10092252;C010376_01;0,4
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10094322;C010285_00;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10094270/00;C010515_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10094156;C010239_02;0,9
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10094059;C010417_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10093857;C010483_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10093497;C010459_01;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10093527;C010466_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10093508;C010457_00;0,25
0L535;SFL 4/3 XL;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10093482/00;C010088_02;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10093476;C010417_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10092703/00;C010406_00;0,35
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10092313;C010389_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10092252;C010376_01;0,4
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10092074/00;C010360_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10088506/01;C010049_00;0,45
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;20485822;C010357_00;0,75
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10088194/01;C010014_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10091290;C010285_00;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10091248;C010259_02;0,18
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10089501;C010133_01;0,1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10091156;C010239_01;0,9
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;1009110700;C010261_01;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10091118;C010259_01;0,18
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10091091/00;C010250_00;0,25
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10090195;C010088_01;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;20481916/00;C010144_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10090027/00;C010203_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10089897;C010159_00;1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10089742/00;C010091_01;9
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10089501;C010133_01;0,1
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10089489;C010144_00;0,5
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10086420/00;C009814_01;0,7
0L535;SFL EVO 4/3 XL N;3085;E1 - West Europe;PORTOGALLO;SIPA WEST EUROPE;GEPACK SA;2021;2024;10089308;C010122_00;0,22
