pref_drw;neck_drw;preform_weight;neck_weight;body_weight;length;thickness;max_diam;DiametroSottobaga;base_thikness;PartingLine;DiametroPLine;neck_nominal_diam;DIAMETRO_BAGA;DIAMETRO_INTERNO;neck_height;NUMEROPRINCIPI;shape;cycle_time;TON;cavitation;DescrizioneCollo;HEATSET
PN006764_00;N000123_02;682,70;50,10;632,60;381,60;10,00;61,28;50,50;7,00;94,00;0,00;50,00;65,73;42,00;44,06;1;Reverse;125,00;500;12;50mm SINGLE THREAD;n
PN005136_03;N000123_02;682,70;50,10;632,60;320,00;12,00;65,29;50,50;8,40;94,00;0,00;50,00;65,73;42,00;44,06;1;Reverse;82,00;500;2;50mm SINGLE THREAD;n
PN007722_00;N000104_31;650,00;22,16;627,84;375,00;9,38;65,34;52,80;7,95;98,00;65,25;55,00;54,40;48,00;35,38;0;Reverse;105,00;500;2;55 mm FOR PUSH CAP;n
PN006765_00;N000123_02;632,80;50,10;582,70;356,04;10,00;61,28;50,50;7,00;94,00;0,00;50,00;65,73;42,00;44,06;1;Reverse;120,00;500;12;50mm SINGLE THREAD;n
PN005136_04;N000123_02;632,80;50,10;582,70;300,00;12,00;65,29;50,50;8,40;94,00;0,00;50,00;65,73;42,00;44,06;1;Reverse;80,00;500;2;50mm SINGLE THREAD;n
PN010012_01;N000132_17;480,00;23,80;456,20;265,26;8,03;69,73;64,00;5,70;60,00;69,64;63,00;75,00;54,20;22,00;3;Reverse;69,00;350;12;63mm 3 STARTS;n
PN010012_00;N000132_34;480,00;38,20;441,80;270,00;8,03;69,26;64,00;5,70;71,00;69,17;63,00;75,00;53,80;33,00;1;Reverse;69,00;350;12;63mm SINGLE LEAD;n
PN010450_00;N000132_17;479,74;23,80;455,94;260,00;8,39;68,60;64,00;5,00;72,00;68,56;63,00;75,00;54,20;22,00;3;Reverse;74,00;350;12;63mm 3 STARTS;n
PN010373_00;N000104_27;390,00;33,50;356,50;308,00;7,20;58,00;51,30;5,90;100,00;0,00;55,00;60,10;46,00;47,00;0;Reverse;59,00;350;12;55 mm FOR PUSH CAP;n
PN004380_00;N000156_07;300,00;19,40;280,60;225,00;5,04;77,50;74,00;4,29;46,00;0,00;77,00;80,80;70,00;22,60;1;Reverse;44,70;500;16;77mm;n
PN010307_00;N200020_02;138,00;8,50;129,50;191,00;8,41;34,71;28,20;4,43;55,00;34,65;28,00;41,00;20,74;22,80;1;Reverse;59,00;500;32;28 mm;n
PN009898_02;N000093_31;120,00;9,10;110,90;160,00;4,98;48,00;44,70;3,99;45,00;47,90;48,00;51,60;41,10;19,50;3;Reverse;29,50;350;32;48mm BERICAP 3 LEADS;n
