Region;Country;City;Altitude;Tmin;Tmax;Twb;Voltage;Frequency;Tollerance;Elec_Norm;Press_Norm;ISO
AF1 - North Africa;Algeria;Adrar;280;-2,7;49,5;27,9;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Annaba Rabah Bitat;5;-1,1;46,1;30,4;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Arzew;4;1,9;40,3;32,2;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Batna;822;-8,5;44;27,5;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Bechar;811;-4,3;45,5;26;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Bejaia Soummam Abane Ramdane;6;-2;44,2;28,7;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Biskra;88;-0,6;48,6;31,6;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Bordj-Bou-Arreridj;957;-5,5;41,8;26,2;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Bouchekif;989;-9,3;42,9;27,6;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Chelff;141;-1,5;46,2;28,5;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Constantine Boudiaf ;690;-6,8;44,8;26,2;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Dar El Beida;25;-1,8;45;29,9;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Djanet Tiska;968;-5,5;43,1;23;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;El Golea;398;-4,5;48,1;30,4;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;El-Bayadh;1347;-9,1;40,2;20,7;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Ghardaia Noumerat;461;-0,6;47,3;28,6;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Ghriss;514;-5,1;44,7;28;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Guemar;62;-1,2;51,2;29,8;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Hassi Messaoud;141;-2;51,4;32,4;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Illizi Takhamalt;542;-2,6;47,2;31,2;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;In Amenas;563;-4,8;46;31,8;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;In-Salah;269;-1,6;49,3;31,2;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Jijel Ferhat Abbas;11;1,9;44,7;29,1;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Laghouat;765;-6,1;44,2;28,1;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Mascara-Matemore;476;-5,4;44,6;27,1;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Mostaganem;138;-1,9;44,5;28,8;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Oran ;90;-2,4;42,6;28,7;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Ouargla;150;-2,1;50,2;29,1;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Saida;752;-8,6;43,1;27;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Setif Ain Arnat;1050;-8,2;42,3;28,1;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Skikda;7;1,6;45,1;29,5;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Tamanrasset;1364;-2,8;42,5;22,1;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Tebessi;811;-5,5;43,4;29,8;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Timimoun;313;-3,5;49,4;26,6;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Tindouf;443;-1,5;48,9;25,4;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Tizi-Ouzou;153;-2,2;45,2;28,6;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Touggourt;85;-2,1;50;29,4;380;50;10;CE;PED;DZ
AF1 - North Africa;Algeria;Zenata;248;-2,5;46;28,4;380;50;10;CE;PED;DZ
AF1 - North Africa;Egypt;Alexandria ;-2;1,1;43,1;29;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Assiut;235;-0,1;48,4;26,3;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Aswan ;202;1,2;47,8;26,9;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Bahariya;130;1,3;47,4;25,6;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Baltim;2;1,8;40,4;30,2;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Cairo ;116;1,1;45,1;28,3;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Dabaa;18;4,2;45,2;29,6;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Dakhla;117;-0,6;47,5;27,8;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;El Arish ;37;-0,3;44,2;30,4;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;El Tor;35;3,9;43,9;32,5;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Farafra;78;-0,9;47,4;25,5;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Hurghada ;16;5,9;44,8;30;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Ismailia;13;1,1;44,4;29,7;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Kharga;73;-0,3;50,1;29,4;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Luxor ;90;-0,2;48,9;28,7;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Mersa Matruh;29;3,5;45,2;29,2;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Minya;37;-0,8;47,5;30,6;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Nekhel;403;-6,5;43,5;29,1;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Port Said;6;5,2;40;30,9;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Port Said El Gamil;6;3,8;39,9;29,8;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Quseer;11;7,2;42,1;31,9;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Ras Abu Rudeis;8;0,6;45,2;31,8;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Ras Sedr;16;2,4;43,9;29,7;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Sharm El Sheikh ;45;6,5;46;32;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;Siwa;-15;0,7;46;27,5;400;50;10;CE;PED;EG
AF1 - North Africa;Egypt;South Valley University;96;2,6;46,3;28,2;400;50;10;CE;PED;EG
AF1 - North Africa;Libya;Benina ;132;1,3;44,9;33,4;400;50;10;CE;PED;LY
AF1 - North Africa;Libya;Misrata;32;1,6;46,3;31,9;400;50;10;CE;PED;LY
AF1 - North Africa;Libya;Sirte;14;5,4;46,9;31,4;400;50;10;CE;PED;LY
AF1 - North Africa;Libya;Tripoli ;80;-0,9;47,9;33,8;400;50;10;CE;PED;LY
AF1 - North Africa;Mauritania;Nouadhibou ;5;6,9;41,4;33;400;50;10;CE;PED;MR
AF1 - North Africa;Mauritania;Nouakchott;2;7,5;46,8;33;400;50;10;CE;PED;MR
AF1 - North Africa;Morocco;Agadir Al Massira ;76;-0,4;50,7;26,1;380;50;10;CE;PED;MA
AF1 - North Africa;Morocco;Al Hoceima ;27;-0,5;37,9;27,5;380;50;10;CE;PED;MA
AF1 - North Africa;Morocco;Beni-Mellal;472;-3,5;45,6;26,9;380;50;10;CE;PED;MA
