Neck;Nominal diameter;Weight;Neck height;Support ledge diameter
26/22 mm 30.41 GME;26.0;2.5;13.37;33.0
26/22 mm 30.37 GME;26.0;2.56;12.9;33.0
PCO 1810;28.0;4.84;21.0;33.0
PCO 1810 LIGHT;28.0;4.14;21.0;33.0
PCO 1881;28.0;3.78;17.0;33.0
PCO 1881 LIGHT;28.0;3.47;17.0;33.0
PCO 1873;28.0;3.6;16.3;33.0
PCO 1810 REF;28;7,33;22,8;37
26/21 mm OIL;26;1,08;6,5;28,2
29 mm PER OIL;29.0;2.64;10.4;30.7
38 mm BERICAP 3 LEADS;38.0;4.35;16.5;42.3
38mm BERICAP 2 LEADS;38;4,54;17,2;42
48mm BERICAP 3 LEADS;48;9,3;19,5;53
29mm CORONA;26.0;8.7;17.0;33.6
26mm CORONA;26.0;3.5;12.4;28.8
120mm NECK FINISH;120.0;27.4;21.17;122.38
110mm SP 400;110.0;16.8;18.0;109.5
100 mm SP 400;100.0;13.0;17.18;99.57
89mm SP400;89.0;10.4;14.1;88.7
73 mm SP400 2-LEAD;73.0;5.9;11.25;71.73
70mm SP400;70.0;5.49;11.0;72.0
63mm SP400;63.0;6.8;13.5;63.0
53mm SP 400;53.0;6.5;14.0;53.0
48mm SP 400;48.0;9.0;13.26;53.34
L45 SP400;45.0;3.7;11.5;46.5
45mm SP400 M;45.0;5.04;12.81;45.5
38 mm SP 400 M;38.0;3.83;15.0;42.0
38 mm SP 400;38.0;5.2;12.28;40.894
33 mm SP 400;33.0;3.35;15.76;35.5
33mm SP 400 M;33.0;3.24;12.25;31.83
30 mm SP 410;30.0;3.6;14.5;30.2
30 mm SP 400;30;3,6;14,5;30,2
28 mm SP 410;28.0;3.73;13.5;27.6
28 mm SP 400;28.0;3.44;13.89;33.43
27 mm SP 410;27.0;5.9;18.5;30.0
24 mm SP 410;24.0;1.88;14.4;23.5
20 mm SP 410;20.0;1.71;11.15;19.8
M89 SP400;89.0;13.4;16.22;88.65
M70 SP400;70.0;6.65;11.99;69.04
M63 SP400;63.0;5.95;11.99;62.06
M53 SP400;53.0;4.94;11.99;52.05
30/25 mm NOVEMBAL;30.0;3.9;18.5;34.0
30/25 mm NOVEMBAL LIGHT;30.0;3.46;18.5;33.5
267-NOVEMBAL;26.75;3.62;16.8;32.5
267 NOVEMBAL LIGHT;26.75;2.9;16.8;32.0
267-NOVEMBAL HOT-FILL;26.75;3.85;16.0;31.15
29/25;29.0;2.08;12.6;32.5
26mm GRAVITY 2;26.0;2.05;12.0;29.25
28mm CORVAGLIA;28.0;3.7;16.8;32.0
26mm CORVAGLIA;26.0;1.6;11.83;32.0
55 SNAP;55.0;11.1;14.0;61.1
55 mm FOR PUSH CAP;55.0;30.6;47.0;58.0
55mm 3 LEADS;55.0;12.46;22.3;62.0
63mm 4 LEADS;63.0;7.4;13.0;62.0
63mm 3 LEADS;63.0;23.86;22.0;75.0
63mm 2 LEADS;63.0;5.39;13.5;62.0
63mm SINGLE LEAD;63.0;5.93;13.5;62.07
63mm 4 LEADS HOT FILL;63.0;14.06;21.11;65.71
33mm 2 LEADS HOT FILL;33.0;3.58;15.1;35.5
38mm 2 LEADS HOT FILL;38.0;7.1;17.83;40.64
38mm 2 LEADS LIGHT HOT FILL;38.0;6.49;17.83;41.0
24 mm SNAP FLANGE;24;0.88;6.0;27.4
26mm SNAP FLANGE;26;1.56;10.5;26.0
28mm SNAP FLANGE;28;2.37;12.17;33.0
29 mm SNAP FLANGE;29;3.7;14.8;33.0
32mm SNAP FLANGE;32;2.74;12.0;36.1
33mm SNAP FLANGE;33;0.98;6.5;34.8
41mm SNAP FLANGE;41;1.22;7.0;41.4
44mm SNAP FLANGE;44;3.6;7.66;37.0
45mm SNAP FLANGE;45;1.0;3.4;45.2
48mm SNAP FLANGE;48;2.0;7.0;
51mm SNAP FLANGE;51;1.59;3.35;48.74
54 mm SNAP FLANGE;54;2.44;6.4;
55mm SNAP FLANGE;55;2.6;7.0;
56mm SNAP FLANGE;56;1.73;8.0;56.75
57mm SNAP FLANGE;57;1.56;4.9;56.0
60mm SNAP FLANGE;60;2.72;7.0;60.0
75mm SNAP FLANGE;75;3.6;6.0;
78mm SNAP FLANGE;78;0.82;3.0;
89mm SNAP FLANGE;89;4.0;6.0;


