Application;Specs;Volume;Weight;Base;Shape;Gasatura;Neck;Bottle_height;Max_diameter;Min_diameter;Productivity;Pressure;Cooling;Recirc;Flow
SMW;Standard;330;8.0;Flat;Circular;0;29/25mm SHORTY;165.0;60.0;;2800;22;No;0;0
SMW;Standard;500;10.0;Flat;Circular;0;29/25mm SHORTY;208.0;63.5;;2700;22;No;0;0
SMW;Standard;750;18.0;Flat;Circular;0;29/25mm SHORTY;242.0;76.0;;2550;22;No;0;0
SMW;Standard;1000;22.0;Flat;Circular;0;29/25mm SHORTY;260.0;79.0;;2550;22;No;0;0
SMW;Standard;1250;25.0;Flat;Circular;0;29/25mm SHORTY;295.1;84.0;;2550;22;No;0;0
SMW;Standard;1500;28.0;Flat;Circular;0;29/25mm SHORTY;320.5;88.2;;2550;24;No;0;0
SMW;Standard;1750;30.0;Flat;Circular;0;29/25mm SHORTY;330.0;93.0;;2400;24;No;0;0
SMW;Standard;2000;35.0;Flat;Circular;0;29/25mm SHORTY;338.8;97.9;;2400;24;No;0;0
SMW;Standard;5000;67.0;Flat;Circular;0;38 Bericap;331.5;163.5;;1700;28;No;0.25;280
SMW;Standard;12000;190.0;Flat;Circular;0;48 Bericap;450.0;221.0;;850;34;No;0.3;280
CSD;Premium;250;15.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;172.5;53.5;;2400;24;Water;0;0
CSD;Premium;350;17.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;207.0;58.0;;2400;26;Water;0;0
CSD;Premium;500;19.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;226.0;65.5;;2400;26;Water;0;0
CSD;Premium;600;20.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;230.8;71.5;;2300;26;Water;0;0
CSD;Premium;750;26.0;Petaloid;Circular;4.2;28mm 28mm PCO 1881;261.0;75.0;;2200;26;Water;0;0
CSD;Premium;1000;29.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;271.9;84.0;;2100;26;Water;0;0
CSD;Premium;1250;32.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;298.0;90.0;;2000;26;Water;0;0
CSD;Premium;1500;35.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;316.9;93.5;;1900;28;Water;0;0
CSD;Premium;1750;38.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;338.8;97.5;;1700;28;Water;0;0
CSD;Premium;2000;42.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;338.5;104.0;;1600;28;Water;0;0
CSD;Premium;2250;46.5;Petaloid;Circular;4.2;28mm 28mm PCO 1881;356.0;108.0;;1350;28;Water;0;0
