pref_drw;neck;preform_weight;preform_length;thickness;max_diam;under_supportledge_diam;base_thikness;partingline_height;partingline_diam;neck_weight;neck_nominal_diam;neck_support_ledge_diam;neck_internal_diam;neck_height;n_leads;shape;machine;cavitation;cycle_time
PN007712_00;26/12 EXALITE;23,50;114,90;2,52;24,25;24,25;2,14;17,00;24,25;1,94;26;29,25;21,74;12;3;Straight;;72;9
PN007704_00;26/12 EXALITE;22,00;114,90;2,30;24,25;24,25;2,07;17,00;24,25;1,94;26;29,25;21,74;12;3;Straight;;72;8,5
PN007703_00;26/12 EXALITE;11,40;74,00;2,53;17,82;24,25;2,28;17,00;23,48;1,94;26;29,25;21,74;12;3;Bell;;72;7,5
PN007699_00;26/12 EXALITE;9,70;74,00;1,92;17,82;24,25;1,88;17,00;23,48;1,94;26;29,25;21,74;12;3;Bell;;72;6,5
PN010097_00;26/22;50,00;146,00;3,78;29,00;25,50;3,02;39,00;28,97;2,59;26;31,5;21,74;15,06;1;Reverse;;72;17,6
PN008483_00;26/22;39,00;130,00;3,71;26,00;25,00;3,15;34,00;26,14;2,59;26;31,5;21,74;15,06;1;Reverse;;96;14,2
PN008489_00;26/22;35,00;130,00;3,20;26,00;25,00;2,72;34,00;26,14;2,59;26;31,5;21,74;15,06;1;Reverse;;96;12,9
PN008541_00;26/22;32,00;118,00;2,67;25,50;25,50;2,27;21,00;25,50;2,59;26;31,5;21,74;15,06;1;Straight;;144;13
PN008480_00;26/22;32,00;115,00;3,63;24,80;25,00;3,09;21,00;24,95;2,59;26;31,5;21,74;15,06;1;Bell;;96;13,2
PN009989_00;26/22;29,00;125,00;2,75;25,20;25,20;2,20;20,06;25,20;2,59;26;31,5;21,74;15,06;1;Straight;;128;10,7
PN009774_00;26/22;28,50;108,00;3,26;26,40;25,50;2,24;37,00;26,38;2,59;26;31,5;21,74;15,06;1;Reverse;;144;11,3
PN010346_00;26/22;27,30;125,00;2,52;25,20;25,20;2,14;20,06;25,20;2,59;26;31,5;21,74;15,06;1;Straight;;128;10,2
PN008486_00;26/22;26,00;115,00;2,72;25,00;25,00;2,39;21,00;24,96;2,59;26;31,5;21,74;15,06;1;Straight;;96;9,4
PN008490_00;26/22;24,00;95,00;3,65;22,90;25,00;3,10;21,00;24,49;2,59;26;31,5;21,74;15,06;1;Bell;;96;11,5
PN009043_00;26/22;23,60;115,91;2,47;23,29;25,70;2,09;21,00;25,47;2,59;26;31,5;21,74;15,06;1;Bell;;96;9,8
PN008482_00;26/22;22,00;85,00;3,88;22,90;25,00;3,30;21,00;24,49;2,59;26;31,5;21,74;15,06;1;Bell;;96;11,7
PN010095_00;26/22;20,00;89,21;3,03;22,73;25,50;2,58;20,10;25,27;2,59;26;31,5;21,74;15,06;1;Bell;;72;9
PN008479_00;26/22;19,00;85,00;3,09;22,90;25,00;2,63;21,00;24,49;2,59;26;31,5;21,74;15,06;1;Bell;;96;9,7
PN009116_00;26/22;18,50;88,00;2,80;22,64;25,50;2,24;21,06;25,00;2,59;26;31,5;21,74;15,06;1;Bell;;128;9,5
PN010482_01;26/22;18,00;89,00;3,00;20,70;25,20;2,55;21,50;24,41;2,59;26;31,5;21,74;15,06;1;Bell;;180;9,7
PN010467_00;26/22;17,50;84,06;3,06;20,90;25,50;2,60;20,06;25,08;2,59;26;31,5;21,74;15,06;1;Bell;;96;10,2
PN007625_00;26/22;17,50;84,88;3,16;20,96;25,50;2,50;20,21;0,00;2,59;26;31,5;21,74;15,06;1;Bell;;96;9,3
PN009039_01;26/22;16,90;89,23;2,94;19,79;24,70;2,24;21,00;23,80;2,59;26;31,5;21,74;15,06;1;Bell;;180;9,6
PN010465_00;26/22;16,00;84,06;2,63;20,90;25,50;2,24;20,06;25,08;2,59;26;31,5;21,74;15,06;1;Bell;;96;8,9
PN010482_00;26/22;16,00;87,00;2,93;18,70;25,20;2,49;18,50;25,13;2,59;26;31,5;21,74;15,06;1;Bell;;180;9,2
PN007933_02;26/22;15,50;84,00;2,90;19,61;24,50;2,20;21,20;23,31;2,59;26;31,5;21,74;15,06;1;Bell;;128;10
PN009937_00;26/22;14,40;86,00;2,35;20,20;25,00;2,00;17,90;24,68;2,59;26;31,5;21,74;15,06;1;Bell;;128;7,8
PN008858_00;26/22;13,55;73,87;3,08;18,97;24,50;2,60;18,47;24,13;2,59;26;31,5;21,74;15,06;1;Bell;;180;9,6
PN008485_00;26/22;13,50;80,00;2,54;19,00;25,00;2,24;21,00;23,55;2,59;26;31,5;21,74;15,06;1;Bell;;96;7,9
PN007844_05;26/22;10,04;77,06;1,82;17,40;24,30;1,82;20,60;23,05;2,59;26;31,5;21,74;15,06;1;Bell;;128;8,3
