Drawing;EOAT;TON;cavitation;cycletime
PN003625_00;3;160;60;7
PN004768_00;3;160;60;7,3
PN008984_00;3;160;60;9,7
PN300211_00;3;160;60;11,7
PN002420_00;3;160;60;11,7
PN003320_00;3;160;60;12,1
PN008083_00;3;160;60;14
PN008729_00;3;160;60;14,5
PN005593_02;3;160;60;19
PN006962_01;3;160;60;60
PN007411_00;3;160;60;12,5
PN008784_00;3;160;60;12,5
PN007921_00;3;160;60;12,5
PN007213_00;3;160;60;11,5
PS004517_00;3;160;60;16
PN005829_00;3;160;60;15,5
PN007964_00;3;160;60;16
PN006205_00;3;160;60;17
PN004758_00;3;160;60;16,7
PN007632_00;3;160;60;17
PN003576_00;3;160;60;17
PN003575_00;3;160;60;18,5
PN007956_00;3;160;60;19
PN002959_00;3;160;60;9,5
PN001075_02;3;160;60;10,5
PN000102_00;3;160;60;13,5
PN000297_01;3;160;60;15
PN004571_01;3;160;60;7,3
PN004571_02;3;160;60;7,3
PN008395_00;3;160;60;12,5
PN005636_00;3;160;60;13,7
PN006020_00;3;160;60;14
PN004185_01;3;160;60;14,3
PN006984_00;3;160;60;14,5
PN006753_00;3;160;60;15
PN008814_01;3;160;60;7
PN009957_01;3;160;60;7,2
PN005419_00;3;160;60;9,3
PN006427_00;3;160;60;9,3
PN006075_00;3;160;60;12,5
PN005592_00;3;160;60;17,5
PN003242_00;3;160;60;12,7
PN004110_01;3;160;60;10,4
PN300062_00;3;160;60;14,5
PN300703_00;3;160;60;14
PN005892_00;3;160;60;9,1
PN004724_00;3;160;60;12
PN006020_00;3;160;60;14
PN004258_02;3;160;60;9,7
PN008784_00;3;160;60;12,5
PN007921_00;3;160;60;12,5
PN005829_00;3;160;60;15,5
PN007964_00;3;160;60;16
PN006205_00;3;160;60;17
PN007632_00;3;160;60;17
PN003575_00;3;160;60;18,5
PN007956_00;3;160;60;19
PN003625_00;3;250;96;6,2
PN004768_00;3;250;96;6,4
PN008984_00;3;250;96;8,3
PN300211_00;3;250;96;10,2
PN002420_00;3;250;96;10,1
PN003320_00;3;250;96;10,6
PN008083_00;3;250;96;11,8
PN008729_00;3;250;96;12,6
PN005593_02;3;250;96;16,9
PN006962_01;3;250;96;45
PN007411_00;3;250;96;9,3
PN008784_00;3;250;96;9,3
PN007921_00;3;250;96;9,3
PN007213_00;3;250;96;8,9
PS004517_00;3;250;96;13,2
PN005829_00;3;250;96;12,5
PN007964_00;3;250;96;13
PN006205_00;3;250;96;14,4
PN004758_00;3;250;96;13,7
PN007632_00;3;250;96;15,5
PN003576_00;3;250;96;15,6
PN003575_00;3;250;96;17
PN007956_00;3;250;96;17,5
PN002959_00;3;250;96;8,3
PN001075_02;3;250;96;9,3
PN000102_00;3;250;96;11,8
PN000297_01;3;250;96;14,3
PN004571_01;3;250;96;6,5
PN004571_02;3;250;96;6,5
PN008395_00;3;250;96;9,3
PN005636_00;3;250;96;11,5
PN006020_00;3;250;96;11,8
PN004185_01;3;250;96;12,1
PN006984_00;3;250;96;12,5
PN006753_00;3;250;96;12,6
PN008814_01;3;250;96;6,2
PN009957_01;3;250;96;6,3
PN005419_00;3;250;96;8,4
PN006427_00;3;250;96;8,4
PN006075_00;3;250;96;10,9
PN005592_00;3;250;96;15,2
PN003242_00;3;250;96;9,5
PN004110_01;3;250;96;8,8
PN300062_00;3;250;96;12,2
PN300703_00;3;250;96;11,8
PN005892_00;3;250;96;8,3
PN004724_00;3;250;96;10,4
PN006020_00;3;250;96;11,8
PN004258_02;3;250;96;8,3
PN008784_00;3;250;96;9,3
PN007921_00;3;250;96;9,3
PN005829_00;3;250;96;12,5
PN007964_00;3;250;96;13
PN006205_00;3;250;96;14,4
PN007632_00;3;250;96;15,5
PN003575_00;3;250;96;17
PN007956_00;3;250;96;17,5
PN003625_00;4;250;96;6,2
PN004768_00;4;250;96;6,5
PN008984_00;4;250;96;7,8
PN300211_00;4;250;96;9,7
PN002420_00;4;250;96;9,6
PN003320_00;4;250;96;10,1
PN008083_00;4;250;96;11,2
PN008729_00;4;250;96;12
PN005593_02;4;250;96;16
PN006962_01;4;250;96;40
PN007411_00;4;250;96;8,7
PN008784_00;4;250;96;8,7
PN007921_00;4;250;96;8,7
PN007213_00;4;250;96;8,6
PS004517_00;4;250;96;12,5
PN005829_00;4;250;96;11,9
PN007964_00;4;250;96;12,4
PN006205_00;4;250;96;13,6
PN004758_00;4;250;96;13,1
PN007632_00;4;250;96;14,7
PN003576_00;4;250;96;14,8
PN003575_00;4;250;96;16
PN007956_00;4;250;96;16,5
PN002959_00;4;250;96;8
PN001075_02;4;250;96;9
PN000102_00;4;250;96;11,3
PN000297_01;4;250;96;13,6
PN004571_01;4;250;96;6,5
PN004571_02;4;250;96;6,5
PN008395_00;4;250;96;8,7
PN005636_00;4;250;96;10,9
PN006020_00;4;250;96;11,2
PN004185_01;4;250;96;11,5
PN006984_00;4;250;96;11,9
PN006753_00;4;250;96;12
PN008814_01;4;250;96;6,2
PN009957_01;4;250;96;6,4
PN005419_00;4;250;96;7,9
PN006427_00;4;250;96;7,9
PN006075_00;4;250;96;10,4
PN005592_00;4;250;96;14,2
PN003242_00;4;250;96;8,9
PN004110_01;4;250;96;8,3
PN300062_00;4;250;96;10,9
PN300703_00;4;250;96;11,2
PN005892_00;4;250;96;7,6
PN004724_00;4;250;96;9,9
PN006020_00;4;250;96;11,2
PN004258_02;4;250;96;7,7
PN008784_00;4;250;96;8,7
PN007921_00;4;250;96;8,7
PN005829_00;4;250;96;11,9
PN007964_00;4;250;96;12,4
PN006205_00;4;250;96;13,6
PN007632_00;4;250;96;14,7
PN003575_00;4;250;96;16
PN007956_00;4;250;96;16,5
PN003625_00;3;350;96;6,2
PN004768_00;3;350;96;6,4
PN008984_00;3;350;96;8,3
PN300211_00;3;350;96;10,2
PN002420_00;3;350;96;10,1
PN003320_00;3;350;96;10,6
PN008083_00;3;350;96;11,8
PN008729_00;3;350;96;12,6
PN005593_02;3;350;96;16,9
